"Tên","Thuộc cột","Thuộc hàng","Thời gian xét"
"PhatsinhNO(4118)","U","574",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","U","577",""
"DUCODK_NamTruoc(412) - DUNODK_NamTruoc(412)","AB","563",""
"PhatsinhCO_NamTruoc(412)","AB","564",""
"PhatsinhNO_NamTruoc(412)","AB","567",""
"DUCODK(412) - DUNODK(412)","AB","570",""
"PhatsinhCO(412)","AB","571",""
"PhatsinhNO(412)","AB","574",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","AB","277",""
"DUCODK_NamTruoc(413) - DUNODK_NamTruoc(413)","AH","563",""
"PhatsinhCO_NamTruoc(413)","AH","564",""
"PhatsinhNO_NamTruoc(413)","AH","570",""
"DUCODK(413) - DUNODK(413)","AH","470",""
"PhatsinhCO(413)","AH","571",""
"PhatsinhNO(413)","AH","574",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","AH","577",""
"DUCODK_NamTruoc(4111) + DUCODK_NamTruoc(4112) + DUCODK_NamTruoc(4118) + DUCODK_NamTruoc(412) - DUNODK_NamTruoc(412) + DUCODK_NamTruoc(413) - DUNODK_NamTruoc(413)","BE","563",""
"PhatsinhCO_NamTruoc(4111) + PhatsinhCO_NamTruoc(4112) + PhatsinhCO_NamTruoc(4118) + PhatsinhCO_NamTruoc(412) + PhatsinhCO_NamTruoc(413)","BE","564",""
